food_item,energy_kcal,carbs,protein_g,fat_g,free_sugar_g,fibre_g,cholesterol_mg,calcium_mg,nutrition_density,health_risk_score,is_spice_condiment
Butternaan,300.0,50.0,7.0,10.0,2.0,2.0,15.0,50.0,22.51166307381699,20.20938329365446,False
Cupcake,200.0,30.0,2.0,8.0,20.0,0.5,20.0,20.0,10.768949257728057,36.66602769292958,False
Donuts,250.0,30.0,3.0,12.0,10.0,1.0,20.0,20.0,13.859328871283411,29.445604207211876,False
French Fries,312.0,41.0,3.4,15.0,0.3,3.8,0.0,20.0,20.013368950001414,20.251448799184253,False
Garlic Bread,200.0,25.0,4.0,10.0,1.0,1.0,10.0,30.0,16.520724287357453,18.45737502977105,False
Grilled Cheese Sandwich,400.0,30.0,12.0,25.0,2.0,2.0,50.0,200.0,32.98847863841941,27.780274104205137,False
Hot Dog,290.0,24.0,10.0,18.0,4.0,1.0,30.0,20.0,23.5165146257095,24.782496587375643,False
Ice Cream,207.0,24.0,3.5,11.0,21.0,0.5,44.0,100.0,14.831479853888052,39.654467299601414,False
Lobster Roll Sandwich,450.0,30.0,20.0,25.0,3.0,2.0,80.0,60.0,39.188079457470465,28.47092577797992,False
Onion Rings,275.0,31.0,3.0,15.0,5.0,2.0,0.0,30.0,16.32206125923561,24.75198621981681,False
Red Velvet Cake,293.0,37.45,5.45,13.74,13.89,1.2,43.0,85.0,18.75994636354802,34.883196789128256,False
Strawberry Shortcake,250.0,35.0,3.0,12.0,15.0,1.0,30.0,50.0,14.174396982214187,34.59991883736212,False
Vada Pav,304.0,40.17,9.17,11.92,9.42,3.8,0.0,71.0,28.176414416511655,24.964304580217433,False
Waffles,220.0,20.0,13.0,11.0,5.0,3.0,30.0,100.0,33.182634790014546,19.499075418450495,False
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,0.0,14.2,9.833330085154204,13.843392213922478,False
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,0.0,20.87,10.236671828297133,14.918516437196335,False
